teacher_id,month,skill_score,student_feedback,overall_score
T1,Jan,91,72,81.5
T1,Feb,94,93,93.5
T1,Mar,86,79,82.5
T1,Apr,85,83,84.0
T1,May,75,88,81.5
T1,Jun,70,77,73.5
T1,Jul,62,94,78.0
T1,Aug,69,89,79.0
T1,Sep,61,62,61.5
T1,Oct,72,68,70.0
T1,Nov,85,77,81.0
T1,Dec,63,69,66.0
T2,Jan,67,64,65.5
T2,Feb,63,84,73.5
T2,Mar,90,80,85.0
T2,Apr,95,89,92.0
T2,May,87,79,83.0
T2,Jun,95,76,85.5
T2,Jul,88,60,74.0
T2,Aug,66,81,73.5
T2,Sep,90,79,84.5
T2,Oct,70,87,78.5
T2,Nov,69,59,64.0
T2,Dec,88,93,90.5
T3,Jan,82,99,90.5
T3,Feb,95,92,93.5
T3,Mar,93,96,94.5
T3,Apr,84,89,86.5
T3,May,79,68,73.5
T3,Jun,96,92,94.0
T3,Jul,55,76,65.5
T3,Aug,59,59,59.0
T3,Sep,80,78,79.0
T3,Oct,76,85,80.5
T3,Nov,78,56,67.0
T3,Dec,57,76,66.5
T4,Jan,59,97,78.0
T4,Feb,60,74,67.0
T4,Mar,82,84,83.0
T4,Apr,95,67,81.0
T4,May,91,76,83.5
T4,Jun,78,89,83.5
T4,Jul,93,79,86.0
T4,Aug,70,82,76.0
T4,Sep,90,91,90.5
T4,Oct,62,76,69.0
T4,Nov,79,72,75.5
T4,Dec,86,55,70.5
T5,Jan,91,93,92.0
T5,Feb,72,96,84.0
T5,Mar,93,97,95.0
T5,Apr,91,94,92.5
T5,May,69,60,64.5
T5,Jun,90,76,83.0
T5,Jul,74,89,81.5
T5,Aug,77,98,87.5
T5,Sep,67,55,61.0
T5,Oct,55,70,62.5
T5,Nov,75,99,87.0
T5,Dec,69,86,77.5
T6,Jan,87,74,80.5
T6,Feb,66,84,75.0
T6,Mar,80,81,80.5
T6,Apr,55,61,58.0
T6,May,94,77,85.5
T6,Jun,88,86,87.0
T6,Jul,78,66,72.0
T6,Aug,87,75,81.0
T6,Sep,59,72,65.5
T6,Oct,56,66,61.0
T6,Nov,68,82,75.0
T6,Dec,80,69,74.5
T7,Jan,85,55,70.0
T7,Feb,72,79,75.5
T7,Mar,62,57,59.5
T7,Apr,58,85,71.5
T7,May,67,75,71.0
T7,Jun,91,76,83.5
T7,Jul,73,80,76.5
T7,Aug,81,83,82.0
T7,Sep,73,99,86.0
T7,Oct,98,67,82.5
T7,Nov,71,69,70.0
T7,Dec,77,99,88.0
T8,Jan,70,99,84.5
T8,Feb,67,77,72.0
T8,Mar,91,55,73.0
T8,Apr,62,85,73.5
T8,May,79,80,79.5
